index,age,gender,country,education,role,field,cat_experience,cat_salary,languages
1669,35-39,Nonbinary,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, R
1669,35-39,Nonbinary,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
1677,25-29,Man,India,Bachelor’s degree,Business Analyst,Computers/Technology,Mid,< 25K,Python
1677,25-29,Man,India,Bachelor’s degree,Business Analyst,Computers/Technology,Mid,< 25K, R
1677,25-29,Man,India,Bachelor’s degree,Business Analyst,Computers/Technology,Mid,< 25K, SQL
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 25K,Python
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 25K, C
1678,30-34,Woman,India,Doctoral degree,Data Analyst,Non-profit/Service,Junior,< 25K, Java
1680,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,50K - 100K,Python
1680,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,50K - 100K, SQL
1680,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,50K - 100K, C
1680,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,50K - 100K, C++
1681,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
1681,30-34,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, R
1686,25-29,Man,Colombia,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Python
1686,25-29,Man,Colombia,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K, R
1686,25-29,Man,Colombia,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K, SQL
1690,60-69,Man,Mexico,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K,Python
1690,60-69,Man,Mexico,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, R
1690,60-69,Man,Mexico,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, SQL
1690,60-69,Man,Mexico,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, Java
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K,Python
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, R
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, SQL
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, C
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, C++
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, Swift
1693,25-29,Man,Japan,Master’s degree,Business Analyst,Government/Public Service,Senior,< 25K, Bash
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K,Python
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K, R
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K, SQL
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K, C++
1700,40-44,Man,Saudi Arabia,Doctoral degree,Data Analyst,Academics/Education,Mid,50K - 100K, Java
1722,35-39,Man,Argentina,Some college/university study without earning a bachelor’s degree,Business Analyst,Other,Junior,< 25K,Python
1722,35-39,Man,Argentina,Some college/university study without earning a bachelor’s degree,Business Analyst,Other,Junior,< 25K, R
1722,35-39,Man,Argentina,Some college/university study without earning a bachelor’s degree,Business Analyst,Other,Junior,< 25K, SQL
1732,22-24,Man,Mexico,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
1748,25-29,Man,South Korea,Bachelor’s degree,Business Analyst,Accounting/Finance,Mid,50K - 100K,Python
1748,25-29,Man,South Korea,Bachelor’s degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, SQL
1774,35-39,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Retail/Sales,Senior+,25K - 50K,Python
1774,35-39,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Retail/Sales,Senior+,25K - 50K, SQL
1774,35-39,Man,Saudi Arabia,Bachelor’s degree,Business Analyst,Retail/Sales,Senior+,25K - 50K, Other
1788,40-44,Man,France,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 25K,Python
1788,40-44,Man,France,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 25K, R
1788,40-44,Man,France,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 25K, SQL
1796,18-21,Man,Japan,Bachelor’s degree,Data Analyst,,Junior,,Python
1796,18-21,Man,Japan,Bachelor’s degree,Data Analyst,,Junior,, C++
1799,25-29,Woman,Turkey,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
1799,25-29,Woman,Turkey,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, R
1799,25-29,Woman,Turkey,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
1803,18-21,Man,Turkey,Bachelor’s degree,Data Analyst,Other,Sin experiencia,< 25K,
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
1818,30-34,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Julia
1824,35-39,Man,France,Doctoral degree,Data Analyst,Computers/Technology,Senior+,25K - 50K, R
1830,25-29,Man,Japan,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,25K - 50K,Python
1830,25-29,Man,Japan,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,25K - 50K, SQL
1836,60-69,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,25K - 50K, SQL
1836,60-69,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Senior+,25K - 50K, Other
1841,35-39,Man,France,Master’s degree,Business Analyst,Computers/Technology,Senior+,50K - 100K,Python
1841,35-39,Man,France,Master’s degree,Business Analyst,Computers/Technology,Senior+,50K - 100K, SQL
1841,35-39,Man,France,Master’s degree,Business Analyst,Computers/Technology,Senior+,50K - 100K, Java
1842,30-34,Man,Argentina,Some college/university study without earning a bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, SQL
1844,35-39,Man,Nigeria,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 25K,Python
1844,35-39,Man,Nigeria,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 25K, Java
1849,30-34,Man,India,Master’s degree,Business Analyst,Manufacturing/Fabrication,Junior,< 25K, R
1868,25-29,Man,Ghana,I prefer not to answer,Data Analyst,Shipping/Transportation,Senior+,< 25K,Python
1871,22-24,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K,Python
1871,22-24,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K, SQL
1873,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Python
1873,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, SQL
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K,Python
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, R
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, SQL
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, C
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, C++
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Java
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Javascript
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, Bash
1892,22-24,Man,India,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Mid,50K - 100K, MATLAB
1902,55-59,Man,Morocco,Bachelor’s degree,Data Analyst,Other,Senior+,< 25K,Python
1902,55-59,Man,Morocco,Bachelor’s degree,Data Analyst,Other,Senior+,< 25K, R
1902,55-59,Man,Morocco,Bachelor’s degree,Data Analyst,Other,Senior+,< 25K, SQL
1902,55-59,Man,Morocco,Bachelor’s degree,Data Analyst,Other,Senior+,< 25K, Bash
1908,18-21,Woman,India,Bachelor’s degree,Data Analyst,,Junior,, Other
1913,25-29,Man,Other,Bachelor’s degree,Data Analyst,,Mid,,Python
1913,25-29,Man,Other,Bachelor’s degree,Data Analyst,,Mid,, SQL
1920,22-24,Woman,United States of America,Master’s degree,Data Analyst,,Junior,,Python
1920,22-24,Woman,United States of America,Master’s degree,Data Analyst,,Junior,, SQL
1920,22-24,Woman,United States of America,Master’s degree,Data Analyst,,Junior,, Java
1920,22-24,Woman,United States of America,Master’s degree,Data Analyst,,Junior,, Javascript
1921,30-34,Man,India,Master’s degree,Data Analyst,Military/Security/Defense,Sin experiencia,25K - 50K,
1930,22-24,Woman,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, C
1934,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K,Python
1934,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K, SQL
1934,22-24,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K, C++
1948,30-34,Man,China,Master’s degree,Data Analyst,Accounting/Finance,Senior,50K - 100K,Python
1948,30-34,Man,China,Master’s degree,Data Analyst,Accounting/Finance,Senior,50K - 100K, SQL
1949,25-29,Man,India,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
1956,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,Marketing/CRM,Sin experiencia,< 25K,
1961,25-29,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Mid,25K - 50K,Python
1961,25-29,Man,Spain,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Mid,25K - 50K, SQL
1967,25-29,Man,China,Master’s degree,Data Analyst,Other,Junior,50K - 100K,Python
1967,25-29,Man,China,Master’s degree,Data Analyst,Other,Junior,50K - 100K, SQL
1969,25-29,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Sin experiencia,< 25K,
1974,25-29,Man,India,Bachelor’s degree,Business Analyst,Academics/Education,Sin experiencia,50K - 100K,
1979,30-34,Man,Egypt,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Python
1980,22-24,Man,Poland,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
1982,22-24,Man,Thailand,Bachelor’s degree,Data Analyst,Other,Junior,,Python
1982,22-24,Man,Thailand,Bachelor’s degree,Data Analyst,Other,Junior,, R
1982,22-24,Man,Thailand,Bachelor’s degree,Data Analyst,Other,Junior,, SQL
1989,22-24,Man,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Python
1989,22-24,Man,India,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, SQL
1993,30-34,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Junior,25K - 50K,Python
1993,30-34,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Junior,25K - 50K, R
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K,Python
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K, R
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K, Julia
2008,22-24,Man,Mexico,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K, MATLAB
2017,30-34,Man,India,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 25K,Python
2017,30-34,Man,India,Master’s degree,Data Analyst,Shipping/Transportation,Junior,< 25K, SQL
2021,25-29,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
2026,35-39,Man,Other,Bachelor’s degree,Data Analyst,Other,Junior,25K - 50K,Python
2026,35-39,Man,Other,Bachelor’s degree,Data Analyst,Other,Junior,25K - 50K, SQL
2026,35-39,Man,Other,Bachelor’s degree,Data Analyst,Other,Junior,25K - 50K, Javascript
2028,35-39,Woman,Egypt,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Python
2032,40-44,Man,France,Master’s degree,Data Analyst,,Mid,,Python
2032,40-44,Man,France,Master’s degree,Data Analyst,,Mid,, SQL
2032,40-44,Man,France,Master’s degree,Data Analyst,,Mid,, C++
2035,25-29,Woman,Kenya,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Python
2035,25-29,Woman,Kenya,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, SQL
2039,40-44,Woman,Argentina,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Python
2039,40-44,Woman,Argentina,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, SQL
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, SQL
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, C
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, C++
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, Java
2052,40-44,Woman,United Arab Emirates,Master’s degree,Business Analyst,Medical/Pharmaceutical,Senior,100K - 200K, Javascript
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K,Python
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K, R
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K, SQL
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K, Julia
2055,35-39,Man,Switzerland,Bachelor’s degree,Data Analyst,Other,Junior,100K - 200K, Bash
2076,25-29,Man,India,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Sin experiencia,< 25K,
2077,18-21,Man,Morocco,I prefer not to answer,Data Analyst,,Junior,,Python
2085,40-44,Man,Nigeria,Bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K,Python
2088,30-34,Man,India,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
2097,22-24,Woman,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,50K - 100K,Python
2097,22-24,Woman,United States of America,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,50K - 100K, MATLAB
2100,25-29,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K,Python
2100,25-29,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K, R
2100,25-29,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K, SQL
2118,40-44,Man,Other,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
2118,40-44,Man,Other,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
2119,18-21,Man,Kenya,Bachelor’s degree,Business Analyst,Insurance/Risk Assessment,Junior,< 25K,Python
2119,18-21,Man,Kenya,Bachelor’s degree,Business Analyst,Insurance/Risk Assessment,Junior,< 25K, R
2121,22-24,Woman,Turkey,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Python
2121,22-24,Woman,Turkey,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
2121,22-24,Woman,Turkey,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, MATLAB
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, R
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
2123,25-29,Man,India,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, MATLAB
2125,50-54,Woman,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Sin experiencia,< 25K,
2126,22-24,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Python
2126,22-24,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 25K, R
2135,30-34,Woman,Mexico,Master’s degree,Business Analyst,Marketing/CRM,Mid,< 25K,Python
2135,30-34,Woman,Mexico,Master’s degree,Business Analyst,Marketing/CRM,Mid,< 25K, R
2135,30-34,Woman,Mexico,Master’s degree,Business Analyst,Marketing/CRM,Mid,< 25K, SQL
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K,Python
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, R
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, C++
2137,22-24,Man,Taiwan,Master’s degree,Data Analyst,Government/Public Service,Senior,< 25K, MATLAB
2142,30-34,Woman,Sri Lanka,Master’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,< 25K,
2154,22-24,Woman,India,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Python
2154,22-24,Woman,India,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K, SQL
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K,Python
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K, SQL
2156,22-24,Woman,Russia,Master’s degree,Business Analyst,Marketing/CRM,Junior,< 25K, MATLAB
2163,55-59,Woman,United States of America,Master’s degree,Data Analyst,Military/Security/Defense,Senior,100K - 200K,Python
2163,55-59,Woman,United States of America,Master’s degree,Data Analyst,Military/Security/Defense,Senior,100K - 200K, SQL
2175,22-24,Woman,Saudi Arabia,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K,Python
2175,22-24,Woman,Saudi Arabia,Master’s degree,Data Analyst,Computers/Technology,Senior,< 25K, Java
2187,25-29,Man,Other,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Senior,< 25K,Python
2187,25-29,Man,Other,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Senior,< 25K, SQL
2192,35-39,Man,India,Master’s degree,Data Analyst,Computers/Technology,Senior+,< 25K, None
2195,45-49,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Senior+,< 25K, SQL
2195,45-49,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Senior+,< 25K, Javascript
2199,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,50K - 100K,Python
2199,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,50K - 100K, SQL
2199,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,50K - 100K, MATLAB
2214,22-24,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
2214,22-24,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, SQL
2216,30-34,Man,Other,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Python
2216,30-34,Man,Other,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, SQL
2219,22-24,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Python
2219,22-24,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, SQL
2220,35-39,Man,Indonesia,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
2235,30-34,Man,Brazil,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Python
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K,Python
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, R
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, SQL
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, C
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, Javascript
2237,22-24,Man,Brazil,Master’s degree,Business Analyst,Energy/Mining,Senior,< 25K, MATLAB
2238,30-34,Man,Russia,I prefer not to answer,Business Analyst,Energy/Mining,Junior,< 25K, None
2256,25-29,Man,China,Master’s degree,Data Analyst,Computers/Technology,Mid,50K - 100K,Python
2256,25-29,Man,China,Master’s degree,Data Analyst,Computers/Technology,Mid,50K - 100K, SQL
2262,50-54,Man,United States of America,Master’s degree,Business Analyst,Accounting/Finance,Junior,50K - 100K,Python
2316,50-54,Man,Peru,I prefer not to answer,Business Analyst,Academics/Education,Senior,< 25K,Python
2316,50-54,Man,Peru,I prefer not to answer,Business Analyst,Academics/Education,Senior,< 25K, SQL
2317,22-24,Man,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Javascript
2340,30-34,Man,Japan,Bachelor’s degree,Business Analyst,Manufacturing/Fabrication,Sin experiencia,25K - 50K,
2350,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Sin experiencia,< 25K,
2404,30-34,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,50K - 100K, R
2404,30-34,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,50K - 100K, SQL
2404,30-34,Man,France,Master’s degree,Business Analyst,Manufacturing/Fabrication,Mid,50K - 100K, Other
2410,40-44,Man,Indonesia,Doctoral degree,Business Analyst,Accounting/Finance,Mid,50K - 100K, SQL
2418,35-39,Man,Other,Master’s degree,Data Analyst,Academics/Education,Senior+,,Python
2418,35-39,Man,Other,Master’s degree,Data Analyst,Academics/Education,Senior+,, R
2418,35-39,Man,Other,Master’s degree,Data Analyst,Academics/Education,Senior+,, SQL
2418,35-39,Man,Other,Master’s degree,Data Analyst,Academics/Education,Senior+,, C
2418,35-39,Man,Other,Master’s degree,Data Analyst,Academics/Education,Senior+,, C++
2419,25-29,Man,India,Master’s degree,Business Analyst,Non-profit/Service,Sin experiencia,< 25K,
2424,40-44,Woman,United States of America,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,100K - 200K,Python
2424,40-44,Woman,United States of America,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,100K - 200K, R
2424,40-44,Woman,United States of America,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,100K - 200K, SQL
2430,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,Computers/Technology,Sin experiencia,50K - 100K,
2434,25-29,Woman,India,Master’s degree,Business Analyst,,Senior,,Python
2434,25-29,Woman,India,Master’s degree,Business Analyst,,Senior,, R
2434,25-29,Woman,India,Master’s degree,Business Analyst,,Senior,, SQL
2474,18-21,Man,India,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,,Python
2479,35-39,Man,Chile,Master’s degree,Business Analyst,Shipping/Transportation,Junior,< 25K,Python
2479,35-39,Man,Chile,Master’s degree,Business Analyst,Shipping/Transportation,Junior,< 25K, R
2479,35-39,Man,Chile,Master’s degree,Business Analyst,Shipping/Transportation,Junior,< 25K, SQL
2492,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K,Python
2492,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K, R
2492,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K, SQL
2492,30-34,Man,Other,Master’s degree,Data Analyst,Government/Public Service,Mid,< 25K, Bash
2498,30-34,Man,Japan,Master’s degree,Business Analyst,Computers/Technology,Junior,50K - 100K,Python
2498,30-34,Man,Japan,Master’s degree,Business Analyst,Computers/Technology,Junior,50K - 100K, SQL
2500,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Insurance/Risk Assessment,Mid,50K - 100K,Python
2500,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Insurance/Risk Assessment,Mid,50K - 100K, R
2500,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Insurance/Risk Assessment,Mid,50K - 100K, SQL
2502,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K,Python
2502,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K, SQL
2502,18-21,Woman,India,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K, C++
2505,30-34,Man,South Africa,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K,Python
2505,30-34,Man,South Africa,Bachelor’s degree,Data Analyst,Energy/Mining,Mid,< 25K, Javascript
2514,25-29,Man,Hong Kong (S.A.R.),Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Python
2522,25-29,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K,Python
2522,25-29,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K, R
2522,25-29,Man,India,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K, Javascript
2525,35-39,Man,Saudi Arabia,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K,Python
2525,35-39,Man,Saudi Arabia,Master’s degree,Data Analyst,Medical/Pharmaceutical,Junior,< 25K, SQL
2531,22-24,Man,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,Sin experiencia,< 25K,
2533,25-29,Woman,Nigeria,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Python
2546,40-44,Man,Other,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Senior+,100K - 200K,Python
2546,40-44,Man,Other,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Senior+,100K - 200K, SQL
2546,40-44,Man,Other,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Senior+,100K - 200K, Other
2564,30-34,Woman,Brazil,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, R
2564,30-34,Woman,Brazil,Bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K, SQL
2566,22-24,Man,Pakistan,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, None
2568,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Other,Junior,50K - 100K,Python
2568,30-34,Man,United States of America,Some college/university study without earning a bachelor’s degree,Data Analyst,Other,Junior,50K - 100K, SQL
2578,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K,Python
2578,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,Hospitality/Entertainment/Sports,Junior,< 25K, SQL
2580,25-29,Man,India,Master’s degree,Business Analyst,Marketing/CRM,Junior,25K - 50K,Python
2580,25-29,Man,India,Master’s degree,Business Analyst,Marketing/CRM,Junior,25K - 50K, SQL
2582,22-24,Man,Poland,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Python
2596,25-29,Man,Ecuador,Bachelor’s degree,Data Analyst,Medical/Pharmaceutical,Junior,,Python
2613,30-34,Man,Russia,Bachelor’s degree,Business Analyst,Other,Junior,< 25K,Python
