index,age,gender,country,education,role,field,cat_experience,cat_salary,notebooks_unido
6947,22-24,Man,Other,Master’s degree,Data Analyst,Energy/Mining,Junior,< 25K, IBM Watson Studio 
6954,22-24,Man,Russia,Bachelor’s degree,Data Analyst,Retail/Sales,Junior,< 25K, Kaggle Notebooks
6959,40-44,Man,Egypt,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Binder / JupyterHub 
6959,40-44,Man,Egypt,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
6959,40-44,Man,Egypt,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Datalab
6976,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Marketing/CRM,Junior,< 25K, Kaggle Notebooks
6976,25-29,Woman,Nigeria,Master’s degree,Data Analyst,Marketing/CRM,Junior,< 25K,Google Cloud Datalab
6978,30-34,Man,Poland,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, Kaggle Notebooks
6978,30-34,Man,Poland,Master’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, Binder / JupyterHub 
6993,22-24,Man,India,Bachelor’s degree,Business Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7017,22-24,Man,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K, Kaggle Notebooks
7017,22-24,Man,India,Master’s degree,Data Analyst,Medical/Pharmaceutical,Mid,< 25K,Colab Notebooks
7025,30-34,Man,India,Doctoral degree,Data Analyst,Non-profit/Service,Mid,< 25K,Google Cloud Datalab
7026,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Medical/Pharmaceutical,Mid,25K - 50K,Colab Notebooks
7047,40-44,Man,India,Master’s degree,Data Analyst,Accounting/Finance,Senior+,25K - 50K,Azure Notebooks
7047,40-44,Man,India,Master’s degree,Data Analyst,Accounting/Finance,Senior+,25K - 50K, Databricks Collaborative Notebooks 
7054,22-24,Woman,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7054,22-24,Woman,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
7082,35-39,Man,Hong Kong (S.A.R.),Bachelor’s degree,Data Analyst,Insurance/Risk Assessment,Senior+,50K - 100K, Kaggle Notebooks
7082,35-39,Man,Hong Kong (S.A.R.),Bachelor’s degree,Data Analyst,Insurance/Risk Assessment,Senior+,50K - 100K,Colab Notebooks
7082,35-39,Man,Hong Kong (S.A.R.),Bachelor’s degree,Data Analyst,Insurance/Risk Assessment,Senior+,50K - 100K, Binder / JupyterHub 
7097,35-39,Man,Argentina,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
7101,55-59,Man,Thailand,Master’s degree,Business Analyst,Non-profit/Service,Senior,50K - 100K, Kaggle Notebooks
7101,55-59,Man,Thailand,Master’s degree,Business Analyst,Non-profit/Service,Senior,50K - 100K,Colab Notebooks
7116,40-44,Man,Morocco,Master’s degree,Data Analyst,Academics/Education,Junior,25K - 50K,Azure Notebooks
7116,40-44,Man,Morocco,Master’s degree,Data Analyst,Academics/Education,Junior,25K - 50K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7116,40-44,Man,Morocco,Master’s degree,Data Analyst,Academics/Education,Junior,25K - 50K,Google Cloud Datalab
7119,25-29,Man,India,Bachelor’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Colab Notebooks
7138,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K, Kaggle Notebooks
7138,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K, Binder / JupyterHub 
7138,18-21,Man,India,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7147,25-29,Man,China,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7147,25-29,Man,China,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
7159,45-49,Man,Egypt,No formal education past high school,Business Analyst,Computers/Technology,Senior,< 25K, Kaggle Notebooks
7159,45-49,Man,Egypt,No formal education past high school,Business Analyst,Computers/Technology,Senior,< 25K,Colab Notebooks
7159,45-49,Man,Egypt,No formal education past high school,Business Analyst,Computers/Technology,Senior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7159,45-49,Man,Egypt,No formal education past high school,Business Analyst,Computers/Technology,Senior,< 25K,Google Cloud Datalab
7161,30-34,Man,Nigeria,Master’s degree,Data Analyst,Medical/Pharmaceutical,Senior,< 25K,Colab Notebooks
7165,25-29,Man,Other,Bachelor’s degree,Business Analyst,,Junior,, Kaggle Notebooks
7170,25-29,Man,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7170,25-29,Man,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
7170,25-29,Man,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Azure Notebooks
7170,25-29,Man,Nigeria,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7176,18-21,Woman,China,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,,Google Cloud Datalab
7216,30-34,Woman,China,Master’s degree,Data Analyst,Academics/Education,Junior,50K - 100K, Kaggle Notebooks
7223,45-49,Man,Other,Bachelor’s degree,Data Analyst,Government/Public Service,Senior+,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7224,25-29,Man,Egypt,Master’s degree,Data Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
7235,40-44,Woman,Australia,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7235,40-44,Woman,Australia,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Google Cloud Datalab
7241,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7249,22-24,Man,Turkey,Master’s degree,Business Analyst,Other,Junior,< 25K, Kaggle Notebooks
7249,22-24,Man,Turkey,Master’s degree,Business Analyst,Other,Junior,< 25K,Colab Notebooks
7249,22-24,Man,Turkey,Master’s degree,Business Analyst,Other,Junior,< 25K, IBM Watson Studio 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Kaggle Notebooks
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K,Azure Notebooks
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Code Ocean 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, IBM Watson Studio 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Amazon Sagemaker Studio Notebooks 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Amazon EMR Notebooks 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K,Google Cloud Datalab
7258,35-39,Man,Brazil,Master’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Observable Notebooks 
7265,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
7265,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
7265,22-24,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
7267,35-39,Woman,China,Master’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,25K - 50K, Binder / JupyterHub 
7273,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
7273,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, IBM Watson Studio 
7273,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Amazon EMR Notebooks 
7273,25-29,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Zeppelin / Zepl Notebooks 
7284,30-34,Man,United States of America,Master’s degree,Data Analyst,Retail/Sales,Senior,100K - 200K,Colab Notebooks
7288,25-29,Man,Russia,Master’s degree,Business Analyst,Retail/Sales,Junior,< 25K, Kaggle Notebooks
7302,35-39,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Analyst,Accounting/Finance,Mid,< 25K, Kaggle Notebooks
7302,35-39,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Analyst,Accounting/Finance,Mid,< 25K,Colab Notebooks
7302,35-39,Man,Russia,Some college/university study without earning a bachelor’s degree,Data Analyst,Accounting/Finance,Mid,< 25K,Azure Notebooks
7334,25-29,Man,China,Doctoral degree,Data Analyst,Academics/Education,Junior,< 25K,Other
7357,40-44,Man,Pakistan,Master’s degree,Business Analyst,Computers/Technology,Senior,, Kaggle Notebooks
7364,50-54,Woman,Algeria,Bachelor’s degree,Business Analyst,,Junior,, Kaggle Notebooks
7364,50-54,Woman,Algeria,Bachelor’s degree,Business Analyst,,Junior,,Google Cloud Notebooks (AI Platform / Vertex AI) 
7364,50-54,Woman,Algeria,Bachelor’s degree,Business Analyst,,Junior,,Google Cloud Datalab
7365,22-24,Man,Indonesia,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud Datalab
7376,25-29,Man,Other,Bachelor’s degree,Data Analyst,Military/Security/Defense,Junior,< 25K, Kaggle Notebooks
7379,40-44,Man,India,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
7385,25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 25K, Kaggle Notebooks
7385,25-29,Man,Indonesia,Bachelor’s degree,Data Analyst,Computers/Technology,Mid,< 25K,Colab Notebooks
7390,22-24,Woman,Kenya,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
7402,45-49,Man,Other,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Senior,25K - 50K,Colab Notebooks
7416,25-29,Woman,United States of America,Some college/university study without earning a bachelor’s degree,Business Analyst,Medical/Pharmaceutical,Junior,50K - 100K, Kaggle Notebooks
7466,25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,Other,Junior,25K - 50K, Kaggle Notebooks
7473,45-49,Man,Argentina,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, Kaggle Notebooks
7473,45-49,Man,Argentina,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K,Colab Notebooks
7473,45-49,Man,Argentina,Bachelor’s degree,Data Analyst,Energy/Mining,Junior,< 25K, IBM Watson Studio 
7494,40-44,Man,Japan,Master’s degree,Data Analyst,Online Service/Internet-based Services,Junior,, Kaggle Notebooks
7520,35-39,Man,Nigeria,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, IBM Watson Studio 
7523,18-21,Woman,India,Master’s degree,Data Analyst,Other,Mid,< 25K,Colab Notebooks
7547,60-69,Man,Argentina,Master’s degree,Business Analyst,Marketing/CRM,Senior+,50K - 100K, Kaggle Notebooks
7547,60-69,Man,Argentina,Master’s degree,Business Analyst,Marketing/CRM,Senior+,50K - 100K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7547,60-69,Man,Argentina,Master’s degree,Business Analyst,Marketing/CRM,Senior+,50K - 100K,Google Cloud Datalab
7559,18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7559,18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
7577,30-34,Man,Other,Bachelor’s degree,Data Analyst,Accounting/Finance,Senior,25K - 50K, Kaggle Notebooks
7577,30-34,Man,Other,Bachelor’s degree,Data Analyst,Accounting/Finance,Senior,25K - 50K,Colab Notebooks
7612,30-34,Man,Bangladesh,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Colab Notebooks
7612,30-34,Man,Bangladesh,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Google Cloud Datalab
7617,25-29,Man,Malaysia,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K,Colab Notebooks
7620,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K, Kaggle Notebooks
7620,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K, IBM Watson Studio 
7620,18-21,Man,India,Bachelor’s degree,Data Analyst,Other,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7627,25-29,Man,China,Bachelor’s degree,Business Analyst,Broadcasting/Communications,Junior,< 25K,Colab Notebooks
7646,25-29,Man,Australia,Bachelor’s degree,Data Analyst,Military/Security/Defense,Junior,50K - 100K, Kaggle Notebooks
7647,40-44,Woman,Brazil,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, Amazon EMR Notebooks 
7652,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K, Kaggle Notebooks
7652,25-29,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Data Analyst,Computers/Technology,Junior,100K - 200K, Databricks Collaborative Notebooks 
7653,30-34,Man,Germany,Bachelor’s degree,Data Analyst,Broadcasting/Communications,Junior,< 25K,Colab Notebooks
7659,22-24,Man,India,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7659,22-24,Man,India,Master’s degree,Business Analyst,Academics/Education,Junior,< 25K,Colab Notebooks
7665,30-34,Man,United States of America,Master’s degree,Data Analyst,Computers/Technology,Mid,, Kaggle Notebooks
7667,30-34,Woman,Germany,Doctoral degree,Business Analyst,Energy/Mining,Senior,100K - 200K, Binder / JupyterHub 
7667,30-34,Woman,Germany,Doctoral degree,Business Analyst,Energy/Mining,Senior,100K - 200K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7674,30-34,Man,United States of America,Bachelor’s degree,Data Analyst,Military/Security/Defense,Mid,50K - 100K, Binder / JupyterHub 
7684,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K, Kaggle Notebooks
7684,22-24,Man,Poland,Master’s degree,Business Analyst,Accounting/Finance,Junior,< 25K,Colab Notebooks
7690,25-29,Man,China,Master’s degree,Business Analyst,Retail/Sales,Junior,< 25K, Binder / JupyterHub 
7690,25-29,Man,China,Master’s degree,Business Analyst,Retail/Sales,Junior,< 25K, Zeppelin / Zepl Notebooks 
7699,22-24,Man,India,Master’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Colab Notebooks
7723,22-24,Woman,Egypt,Master’s degree,Data Analyst,Academics/Education,Mid,< 25K, Kaggle Notebooks
7733,45-49,Man,Egypt,Doctoral degree,Data Analyst,Academics/Education,Senior,< 25K, Kaggle Notebooks
7733,45-49,Man,Egypt,Doctoral degree,Data Analyst,Academics/Education,Senior,< 25K,Colab Notebooks
7733,45-49,Man,Egypt,Doctoral degree,Data Analyst,Academics/Education,Senior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7734,25-29,Woman,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,, Kaggle Notebooks
7734,25-29,Woman,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,, Paperspace / Gradient 
7734,25-29,Woman,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,,Google Cloud Notebooks (AI Platform / Vertex AI) 
7744,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,, Kaggle Notebooks
7744,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,,Google Cloud Notebooks (AI Platform / Vertex AI) 
7744,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,,Junior,,Google Cloud Datalab
7752,22-24,Man,China,Master’s degree,Data Analyst,,Mid,, Kaggle Notebooks
7767,40-44,Man,Russia,I prefer not to answer,Business Analyst,Academics/Education,Junior,25K - 50K,Colab Notebooks
7767,40-44,Man,Russia,I prefer not to answer,Business Analyst,Academics/Education,Junior,25K - 50K,Google Cloud Datalab
7770,35-39,Man,Canada,Master’s degree,Data Analyst,Computers/Technology,Mid,50K - 100K, Kaggle Notebooks
7770,35-39,Man,Canada,Master’s degree,Data Analyst,Computers/Technology,Mid,50K - 100K,Colab Notebooks
7824,25-29,Man,Australia,Master’s degree,Data Analyst,Academics/Education,Senior,25K - 50K,Google Cloud Datalab
7825,18-21,Woman,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K,Other
7833,22-24,Man,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K, Amazon EMR Notebooks 
7833,22-24,Man,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7833,22-24,Man,India,Master’s degree,Data Analyst,Insurance/Risk Assessment,Junior,< 25K, Zeppelin / Zepl Notebooks 
7840,22-24,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
7840,22-24,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
7840,22-24,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, IBM Watson Studio 
7840,22-24,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
7840,22-24,Woman,India,Master’s degree,Business Analyst,Computers/Technology,Junior,< 25K, Databricks Collaborative Notebooks 
7868,22-24,Man,Greece,Bachelor’s degree,Data Analyst,Accounting/Finance,Senior,< 25K, Kaggle Notebooks
7868,22-24,Man,Greece,Bachelor’s degree,Data Analyst,Accounting/Finance,Senior,< 25K,Colab Notebooks
7871,30-34,Man,India,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, Kaggle Notebooks
7871,30-34,Man,India,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Colab Notebooks
7871,30-34,Man,India,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, Binder / JupyterHub 
7871,30-34,Man,India,Master’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7882,35-39,Man,Brazil,Master’s degree,Data Analyst,Insurance/Risk Assessment,Senior+,25K - 50K,Azure Notebooks
7882,35-39,Man,Brazil,Master’s degree,Data Analyst,Insurance/Risk Assessment,Senior+,25K - 50K,Google Cloud Datalab
7889,40-44,Man,Czech Republic,Bachelor’s degree,Business Analyst,Shipping/Transportation,Junior,< 25K, Kaggle Notebooks
7911,18-21,Woman,India,Bachelor’s degree,Data Analyst,Academics/Education,Junior,< 25K, Kaggle Notebooks
7919,30-34,Woman,Russia,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, Paperspace / Gradient 
7919,30-34,Woman,Russia,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K, IBM Watson Studio 
7919,30-34,Woman,Russia,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
7919,30-34,Woman,Russia,Master’s degree,Data Analyst,Government/Public Service,Junior,< 25K,Google Cloud Datalab
7944,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
7944,22-24,Man,Kenya,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
7946,22-24,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
7946,22-24,Woman,Pakistan,Master’s degree,Data Analyst,Computers/Technology,Junior,< 25K,Colab Notebooks
7961,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K,Colab Notebooks
7961,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K, Binder / JupyterHub 
7961,25-29,Man,Colombia,Bachelor’s degree,Data Analyst,Academics/Education,Mid,< 25K,Google Cloud Datalab
7979,18-21,Man,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, Kaggle Notebooks
7979,18-21,Man,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Colab Notebooks
7979,18-21,Man,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,Junior,< 25K,Azure Notebooks
7979,18-21,Man,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, Binder / JupyterHub 
7979,18-21,Man,Russia,Bachelor’s degree,Data Analyst,Non-profit/Service,Junior,< 25K, IBM Watson Studio 
8006,35-39,Woman,Canada,Master’s degree,Data Analyst,Government/Public Service,Mid,50K - 100K, Kaggle Notebooks
8007,50-54,Man,Australia,Master’s degree,Data Analyst,Accounting/Finance,Mid,50K - 100K, Kaggle Notebooks
8007,50-54,Man,Australia,Master’s degree,Data Analyst,Accounting/Finance,Mid,50K - 100K,Colab Notebooks
8007,50-54,Man,Australia,Master’s degree,Data Analyst,Accounting/Finance,Mid,50K - 100K, IBM Watson Studio 
8018,30-34,Man,Other,Master’s degree,Data Analyst,Other,Senior,< 25K,Colab Notebooks
8018,30-34,Man,Other,Master’s degree,Data Analyst,Other,Senior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8018,30-34,Man,Other,Master’s degree,Data Analyst,Other,Senior,< 25K, Databricks Collaborative Notebooks 
8022,25-29,Man,India,I prefer not to answer,Data Analyst,Accounting/Finance,Mid,< 25K, Kaggle Notebooks
8022,25-29,Man,India,I prefer not to answer,Data Analyst,Accounting/Finance,Mid,< 25K,Colab Notebooks
8032,25-29,Man,India,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K, Kaggle Notebooks
8032,25-29,Man,India,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K,Colab Notebooks
8032,25-29,Man,India,Bachelor’s degree,Data Analyst,Online Business/Internet-based Sales,Junior,< 25K, Deepnote Notebooks 
8040,22-24,Man,Taiwan,Bachelor’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K, Kaggle Notebooks
8040,22-24,Man,Taiwan,Bachelor’s degree,Business Analyst,Online Business/Internet-based Sales,Junior,< 25K,Colab Notebooks
8043,40-44,Prefer not to say,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,, Kaggle Notebooks
8043,40-44,Prefer not to say,Germany,Some college/university study without earning a bachelor’s degree,Data Analyst,Retail/Sales,Junior,,Colab Notebooks
8057,35-39,Man,Colombia,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K, Kaggle Notebooks
8057,35-39,Man,Colombia,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Colab Notebooks
8057,35-39,Man,Colombia,Master’s degree,Business Analyst,Government/Public Service,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8136,25-29,Woman,Indonesia,Some college/university study without earning a bachelor’s degree,Business Analyst,Computers/Technology,Junior,< 25K,Google Cloud Datalab
8171,40-44,Man,Brazil,Master’s degree,Data Analyst,Government/Public Service,Junior,25K - 50K, Kaggle Notebooks
8171,40-44,Man,Brazil,Master’s degree,Data Analyst,Government/Public Service,Junior,25K - 50K, Paperspace / Gradient 
8180,30-34,Woman,Israel,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K,Colab Notebooks
8180,30-34,Woman,Israel,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,50K - 100K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8192,25-29,Man,Uganda,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Kaggle Notebooks
8192,25-29,Man,Uganda,Bachelor’s degree,Data Analyst,Computers/Technology,Junior,< 25K, Binder / JupyterHub 
8196,22-24,Woman,Nigeria,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, IBM Watson Studio 
8202,25-29,Man,India,Master’s degree,Business Analyst,Other,Junior,< 25K, Kaggle Notebooks
8202,25-29,Man,India,Master’s degree,Business Analyst,Other,Junior,< 25K,Colab Notebooks
8230,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K, Kaggle Notebooks
8230,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K,Colab Notebooks
8230,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K,Azure Notebooks
8230,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K, Amazon Sagemaker Studio Notebooks 
8230,25-29,Man,India,Master’s degree,Business Analyst,Computers/Technology,Mid,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8233,35-39,Man,India,Master’s degree,Business Analyst,Accounting/Finance,Mid,< 25K,Colab Notebooks
8256,35-39,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Kaggle Notebooks
8256,35-39,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Colab Notebooks
8256,35-39,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Azure Notebooks
8256,35-39,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Amazon Sagemaker Studio Notebooks 
8256,35-39,Man,India,Master’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8300,30-34,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Kaggle Notebooks
8300,30-34,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, Binder / JupyterHub 
8300,30-34,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K, IBM Watson Studio 
8300,30-34,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Junior,< 25K,Other
8320,30-34,Man,Indonesia,Bachelor’s degree,Data Analyst,Manufacturing/Fabrication,Senior,< 25K,Google Cloud Notebooks (AI Platform / Vertex AI) 
8349,35-39,Man,India,Bachelor’s degree,Data Analyst,Computers/Technology,Senior+,< 25K,Azure Notebooks
8352,45-49,Man,Bangladesh,I prefer not to answer,Business Analyst,Other,Mid,25K - 50K, Code Ocean 
8352,45-49,Man,Bangladesh,I prefer not to answer,Business Analyst,Other,Mid,25K - 50K, IBM Watson Studio 
8353,30-34,Man,Peru,Master’s degree,Data Analyst,,Junior,, Kaggle Notebooks
8353,30-34,Man,Peru,Master’s degree,Data Analyst,,Junior,,Google Cloud Datalab
8359,30-34,Man,Belarus,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K, Kaggle Notebooks
8359,30-34,Man,Belarus,Bachelor’s degree,Data Analyst,Online Service/Internet-based Services,Junior,< 25K,Colab Notebooks
8372,40-44,Man,Canada,Master’s degree,Data Analyst,Accounting/Finance,Senior,< 25K, Kaggle Notebooks
8401,25-29,Man,United Arab Emirates,Bachelor’s degree,Data Analyst,Accounting/Finance,Junior,< 25K, Kaggle Notebooks
